name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Gonzalo Verdu,"€ 2,981","€ 155,000","€ 168,005",D,32,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Tachi,"€ 2,981","€ 155,000","€ 168,005",D,23,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Diego Gonzalez,"€ 2,981","€ 155,000","€ 168,005",D,25,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Javi Lopez,"€ 2,981","€ 155,000","€ 168,005",D,18,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Rafa Soares,"€ 2,885","€ 150,000","€ 162,586",D,25,Portugal,Eibar,2020-2021,la-liga,,,,,,,,,,
Ferro,"€ 2,885","€ 150,000","€ 162,586",D,23,Portugal,Valencia,2020-2021,la-liga,,,,,,,,,,
Tomas Tavares,"€ 2,500","€ 130,000","€ 140,908",D,19,Portugal,Alaves,2020-2021,la-liga,,,,,,,,,,
Nino,"€ 2,308","€ 120,000","€ 130,069",F,40,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Yeremi Pino,"€ 1,923","€ 100,000","€ 108,391",F,18,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Santi Ramos Mingo,"€ 1,731","€ 90,000","€ 97,552",D,18,Argentina,Barcelona,2020-2021,la-liga,,,,,,,,,,
Abdallahi Mahmoud,"€ 1,538","€ 80,000","€ 86,712",M,20,Mauritania,Alaves,2020-2021,la-liga,,,,,,,,,,
Rodri,"€ 1,538","€ 80,000","€ 86,712",F,20,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Miguel San Roman,"€ 1,154","€ 60,000","€ 65,034",K,23,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Gabri Veiga,€ 962,"€ 50,000","€ 54,195",M,18,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Borja Sainz,€ 769,"€ 40,000","€ 43,356",F,19,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Javi Diaz,€ 577,"€ 30,000","€ 32,517",K,23,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Eden Hazard,"€ 600,962","€ 31,250,000","€ 31,250,000",F,31,Belgium,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Gareth Bale,"€ 600,962","€ 31,250,000","€ 31,250,000",F,32,Wales,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Gerard Pique,"€ 532,692","€ 27,700,000","€ 27,700,000",D,35,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Antoine Griezmann,"€ 480,769","€ 25,000,000","€ 25,000,000",F,30,France,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Toni Kroos,"€ 468,846","€ 24,380,000","€ 24,380,000",M,32,Germany,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Marcelo,"€ 468,846","€ 24,380,000","€ 24,380,000",D,33,Brazil,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Sergio Busquets,"€ 461,538","€ 24,000,000","€ 24,000,000",M,33,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Karim Benzema,"€ 461,538","€ 24,000,000","€ 24,000,000",F,34,France,Real Madrid,2021-2022,la-liga,,,,,,,,,,
David Alaba,"€ 432,692","€ 22,500,000","€ 22,500,000",D,29,Austria,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Luka Modric,"€ 420,769","€ 21,880,000","€ 21,880,000",M,36,Croatia,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Philippe Coutinho,"€ 420,769","€ 21,880,000","€ 21,880,000",F,29,Brazil,Barcelona,2021-2022,la-liga,,,,,,,,,,
Jan Oblak,"€ 400,000","€ 20,800,000","€ 20,800,000",K,29,Slovenia,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Samuel Umtiti,"€ 384,615","€ 20,000,000","€ 20,000,000",D,28,France,Barcelona,2021-2022,la-liga,,,,,,,,,,
Frenkie de Jong,"€ 360,769","€ 18,760,000","€ 18,760,000",M,24,Netherlands,Barcelona,2021-2022,la-liga,,,,,,,,,,
Jordi Alba,"€ 338,462","€ 17,600,000","€ 17,600,000",D,32,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Koke,"€ 307,692","€ 16,000,000","€ 16,000,000",M,30,Spain,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Luis Suarez,"€ 300,385","€ 15,620,000","€ 15,620,000",F,35,Uruguay,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Thibaut Courtois,"€ 288,462","€ 15,000,000","€ 15,000,000",K,29,Belgium,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Joao Felix,"€ 280,385","€ 14,580,000","€ 14,580,000",F,22,Portugal,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Isco,"€ 280,385","€ 14,580,000","€ 14,580,000",F,29,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Ansu Fati,"€ 268,269","€ 13,950,000","€ 13,950,000",F,19,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Yannick Carrasco,"€ 252,500","€ 13,130,000","€ 13,130,000",F,28,Belgium,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Luka Jovic,"€ 240,385","€ 12,500,000","€ 12,500,000",F,24,Serbia,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Clement Lenglet,"€ 230,769","€ 12,000,000","€ 12,000,000",D,26,France,Barcelona,2021-2022,la-liga,,,,,,,,,,
Ousmane Dembele,"€ 230,769","€ 12,000,000","€ 12,000,000",F,24,France,Barcelona,2021-2022,la-liga,,,,,,,,,,
Inaki Williams,"€ 219,231","€ 11,400,000","€ 11,400,000",F,27,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Casemiro,"€ 210,385","€ 10,940,000","€ 10,940,000",M,29,Brazil,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Daniel Carvajal,"€ 200,385","€ 10,420,000","€ 10,420,000",D,30,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Sergio Aguero,"€ 200,385","€ 10,420,000","€ 10,420,000",F,33,Argentina,Barcelona,2021-2022,la-liga,,,,,,,,,,
Memphis Depay,"€ 200,385","€ 10,420,000","€ 10,420,000",F,27,Netherlands,Barcelona,2021-2022,la-liga,,,,,,,,,,
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 10,420,000",D,26,France,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Ferran Torres,"€ 192,308","€ 10,000,000","€ 10,000,000",F,21,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Marco Asensio,"€ 189,038","€ 9,830,000","€ 9,830,000",F,26,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Lucas Vazquez,"€ 180,385","€ 9,380,000","€ 9,380,000",D,30,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Pedri,"€ 180,385","€ 9,380,000","€ 9,380,000",M,19,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Marc-Andre ter Stegen,"€ 173,077","€ 9,000,000","€ 9,000,000",K,29,Germany,Barcelona,2021-2022,la-liga,,,,,,,,,,
Inigo Martinez,"€ 170,577","€ 8,870,000","€ 8,870,000",D,30,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Nacho Fernandez,"€ 164,231","€ 8,540,000","€ 8,540,000",D,32,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Marcos Llorente,"€ 160,192","€ 8,330,000","€ 8,330,000",M,27,Spain,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 8,330,000",D,26,Spain,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Rodrygo,"€ 160,192","€ 8,330,000","€ 8,330,000",F,21,Brazil,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Eduardo Camavinga,"€ 160,192","€ 8,330,000","€ 8,330,000",M,19,France,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Mariano Diaz,"€ 160,192","€ 8,330,000","€ 8,330,000",F,28,Dominican Republic,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Federico Valverde,"€ 156,346","€ 8,130,000","€ 8,130,000",M,23,Uruguay,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Felipe,"€ 145,385","€ 7,560,000","€ 7,560,000",D,32,Brazil,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 7,330,000",D,30,Croatia,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Eder Militao,"€ 140,192","€ 7,290,000","€ 7,290,000",D,24,Brazil,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Dani Ceballos,"€ 140,192","€ 7,290,000","€ 7,290,000",M,25,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Ronald Araujo,"€ 134,615","€ 7,000,000","€ 7,000,000",D,22,Uruguay,Barcelona,2021-2022,la-liga,,,,,,,,,,
Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 6,900,000",M,28,Central African Republic,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Nabil Fekir,"€ 130,769","€ 6,800,000","€ 6,800,000",F,28,France,Real Betis,2021-2022,la-liga,,,,,,,,,,
Vitolo,"€ 129,615","€ 6,740,000","€ 6,740,000",F,32,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Vinicius Junior,"€ 128,269","€ 6,670,000","€ 6,670,000",F,21,Brazil,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Rodrigo de Paul,"€ 128,269","€ 6,670,000","€ 6,670,000",M,27,Argentina,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Hector Bellerin,"€ 128,269","€ 6,670,000","€ 6,670,000",D,26,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Thomas Lemar,"€ 125,000","€ 6,500,000","€ 6,500,000",F,26,France,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Ivan Rakitic,"€ 124,038","€ 6,450,000","€ 6,450,000",M,33,Croatia,Sevilla,2021-2022,la-liga,,,,,,,,,,
Goncalo Guedes,"€ 117,308","€ 6,100,000","€ 6,100,000",F,25,Portugal,Valencia,2021-2022,la-liga,,,,,,,,,,
Anthony Martial,"€ 115,385","€ 6,000,000","€ 6,000,000",F,26,France,Sevilla,2021-2022,la-liga,,,,,,,,,,
Sergino Dest,"€ 115,385","€ 6,000,000","€ 6,000,000",D,21,United States,Barcelona,2021-2022,la-liga,,,,,,,,,,
Eric Garcia,"€ 115,385","€ 6,000,000","€ 6,000,000",D,21,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Neto,"€ 115,385","€ 6,000,000","€ 6,000,000",K,32,Brazil,Barcelona,2021-2022,la-liga,,,,,,,,,,
Hector Herrera,"€ 115,385","€ 6,000,000","€ 6,000,000",M,31,Mexico,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Martin Braithwaite,"€ 115,385","€ 6,000,000","€ 6,000,000",F,30,Denmark,Barcelona,2021-2022,la-liga,,,,,,,,,,
Vicente Iborra,"€ 108,269","€ 5,630,000","€ 5,630,000",M,34,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Nemanja Gudelj,"€ 107,692","€ 5,600,000","€ 5,600,000",M,30,Serbia,Sevilla,2021-2022,la-liga,,,,,,,,,,
Raul Garcia,"€ 107,692","€ 5,600,000","€ 5,600,000",F,35,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Geronimo Rulli,"€ 104,231","€ 5,420,000","€ 5,420,000",K,29,Argentina,Villarreal,2021-2022,la-liga,,,,,,,,,,
Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,330,000",D,31,Brazil,Valencia,2021-2022,la-liga,,,,,,,,,,
David Silva,"€ 101,923","€ 5,300,000","€ 5,300,000",F,36,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Paco Alcacer,"€ 100,192","€ 5,210,000","€ 5,210,000",F,28,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Moussa Wague,"€ 96,154","€ 5,000,000","€ 5,000,000",D,23,Senegal,Barcelona,2021-2022,la-liga,,,,,,,,,,
Sergi Roberto,"€ 96,154","€ 5,000,000","€ 5,000,000",M,29,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Munir El Haddadi,"€ 95,769","€ 4,980,000","€ 4,980,000",F,26,Morocco,Sevilla,2021-2022,la-liga,,,,,,,,,,
Raul de Tomas,"€ 92,692","€ 4,820,000","€ 4,820,000",F,27,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Borja Mayoral,"€ 92,115","€ 4,790,000","€ 4,790,000",F,24,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Vedat Muriqi,"€ 88,077","€ 4,580,000","€ 4,580,000",F,27,Kosovo,Mallorca,2021-2022,la-liga,,,,,,,,,,
Nolito,"€ 88,077","€ 4,580,000","€ 4,580,000",F,35,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,31,Montenegro,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Jesus Navas,"€ 84,615","€ 4,400,000","€ 4,400,000",D,36,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
Denis Suarez,"€ 84,231","€ 4,380,000","€ 4,380,000",F,28,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Yuri Berchiche,"€ 82,308","€ 4,280,000","€ 4,280,000",D,31,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Unai Simon,"€ 82,308","€ 4,280,000","€ 4,280,000",K,24,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Giovani Lo Celso,"€ 79,231","€ 4,120,000","€ 4,120,000",M,25,Argentina,Villarreal,2021-2022,la-liga,,,,,,,,,,
Jose Gimenez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,27,Uruguay,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Riqui Puig,"€ 76,923","€ 4,000,000","€ 4,000,000",M,22,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Adnan Januzaj,"€ 76,923","€ 4,000,000","€ 4,000,000",F,26,Belgium,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Papu Gomez,"€ 74,231","€ 3,860,000","€ 3,860,000",F,33,Argentina,Sevilla,2021-2022,la-liga,,,,,,,,,,
Dani Parejo,"€ 73,077","€ 3,800,000","€ 3,800,000",M,32,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Pau Torres,"€ 73,077","€ 3,800,000","€ 3,800,000",D,25,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Renan Lodi,"€ 73,077","€ 3,800,000","€ 3,800,000",D,23,Brazil,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Jasper Cillessen,"€ 72,115","€ 3,750,000","€ 3,750,000",K,32,Netherlands,Valencia,2021-2022,la-liga,,,,,,,,,,
Francis Coquelin,"€ 71,923","€ 3,740,000","€ 3,740,000",M,30,France,Villarreal,2021-2022,la-liga,,,,,,,,,,
Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 3,700,000",M,32,France,Granada,2021-2022,la-liga,,,,,,,,,,
Gerard Moreno,"€ 69,615","€ 3,620,000","€ 3,620,000",F,29,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Joan Jordan,"€ 69,231","€ 3,600,000","€ 3,600,000",M,27,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
David Lopez,"€ 68,462","€ 3,560,000","€ 3,560,000",M,32,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Jose Gaya,"€ 67,308","€ 3,500,000","€ 3,500,000",D,26,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Angel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,26,Argentina,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Nico Williams,"€ 67,308","€ 3,500,000","€ 3,500,000",F,19,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Thomas Delaney,"€ 66,731","€ 3,470,000","€ 3,470,000",M,30,Denmark,Sevilla,2021-2022,la-liga,,,,,,,,,,
Sergio Asenjo,"€ 66,538","€ 3,460,000","€ 3,460,000",K,32,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Nacho Monreal,"€ 66,346","€ 3,450,000","€ 3,450,000",D,35,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Daniel Wass,"€ 66,154","€ 3,440,000","€ 3,440,000",M,32,Denmark,Valencia,2021-2022,la-liga,,,,,,,,,,
Mario Gaspar,"€ 64,038","€ 3,330,000","€ 3,330,000",D,31,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Diego Carlos,"€ 63,846","€ 3,320,000","€ 3,320,000",D,28,Brazil,Sevilla,2021-2022,la-liga,,,,,,,,,,
Erik Lamela,"€ 63,462","€ 3,300,000","€ 3,300,000",F,29,Argentina,Sevilla,2021-2022,la-liga,,,,,,,,,,
Rafinha,"€ 62,500","€ 3,250,000","€ 3,250,000",M,28,Brazil,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Mikel Merino,"€ 61,538","€ 3,200,000","€ 3,200,000",M,25,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Denis Cheryshev,"€ 61,346","€ 3,190,000","€ 3,190,000",F,31,Russia,Valencia,2021-2022,la-liga,,,,,,,,,,
Alexander Sorloth,"€ 60,385","€ 3,140,000","€ 3,140,000",F,26,Norway,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Arnaut Danjuma,"€ 60,192","€ 3,130,000","€ 3,130,000",F,25,Netherlands,Villarreal,2021-2022,la-liga,,,,,,,,,,
Dario Benedetto,"€ 59,615","€ 3,100,000","€ 3,100,000",F,31,Argentina,Elche,2021-2022,la-liga,,,,,,,,,,
Benjamin Lecomte,"€ 59,423","€ 3,090,000","€ 3,090,000",K,30,France,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Youssef En-Nesyri,"€ 57,692","€ 3,000,000","€ 3,000,000",F,24,Morocco,Sevilla,2021-2022,la-liga,,,,,,,,,,
Matheus Cunha,"€ 57,692","€ 3,000,000","€ 3,000,000",F,22,Brazil,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Asier Illarramendi,"€ 57,692","€ 3,000,000","€ 3,000,000",M,31,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Martin Montoya,"€ 56,731","€ 2,950,000","€ 2,950,000",D,30,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Boulaye Dia,"€ 56,154","€ 2,920,000","€ 2,920,000",F,25,Senegal,Villarreal,2021-2022,la-liga,,,,,,,,,,
Iago Aspas,"€ 55,769","€ 2,900,000","€ 2,900,000",F,34,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Marcos Acuna,"€ 55,769","€ 2,900,000","€ 2,900,000",D,30,Argentina,Sevilla,2021-2022,la-liga,,,,,,,,,,
Hugo Duro,"€ 55,577","€ 2,890,000","€ 2,890,000",F,22,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Jason,"€ 55,000","€ 2,860,000","€ 2,860,000",F,27,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Raul Albiol,"€ 54,615","€ 2,840,000","€ 2,840,000",D,36,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Andriy Lunin,"€ 54,038","€ 2,810,000","€ 2,810,000",K,22,Ukraine,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Suso,"€ 53,846","€ 2,800,000","€ 2,800,000",F,28,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
Alex Remiro,"€ 53,846","€ 2,800,000","€ 2,800,000",K,26,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Fernando,"€ 53,846","€ 2,800,000","€ 2,800,000",M,34,Brazil,Sevilla,2021-2022,la-liga,,,,,,,,,,
Dani Garcia,"€ 53,269","€ 2,770,000","€ 2,770,000",M,31,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Bono,"€ 51,923","€ 2,700,000","€ 2,700,000",K,30,Morocco,Sevilla,2021-2022,la-liga,,,,,,,,,,
Marc Bartra,"€ 51,923","€ 2,700,000","€ 2,700,000",D,31,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,24,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,24,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Javi Galan,"€ 50,000","€ 2,600,000","€ 2,600,000",D,27,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Pierre-Emerick Aubameyang,"€ 48,077","€ 2,500,000","€ 2,500,000",F,32,Gabon,Barcelona,2021-2022,la-liga,,,,,,,,,,
German Pezzella,"€ 48,077","€ 2,500,000","€ 2,500,000",D,30,Argentina,Real Betis,2021-2022,la-liga,,,,,,,,,,
Karim Rekik,"€ 48,077","€ 2,500,000","€ 2,500,000",D,27,Netherlands,Sevilla,2021-2022,la-liga,,,,,,,,,,
Florin Andone,"€ 46,731","€ 2,430,000","€ 2,430,000",F,28,Romania,Cadiz,2021-2022,la-liga,,,,,,,,,,
Yeray Alvarez,"€ 46,154","€ 2,400,000","€ 2,400,000",D,27,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Bryan Gil,"€ 45,192","€ 2,350,000","€ 2,350,000",F,20,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Ruben Blanco,"€ 45,000","€ 2,340,000","€ 2,340,000",K,26,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Oliver Torres,"€ 44,231","€ 2,300,000","€ 2,300,000",M,27,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
Jeison Murillo,"€ 44,038","€ 2,290,000","€ 2,290,000",D,29,Colombia,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Pervis Estupinan,"€ 44,038","€ 2,290,000","€ 2,290,000",D,24,Ecuador,Villarreal,2021-2022,la-liga,,,,,,,,,,
Diego Lopez,"€ 43,269","€ 2,250,000","€ 2,250,000",K,40,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Djene,"€ 42,308","€ 2,200,000","€ 2,200,000",D,30,Togo,Getafe,2021-2022,la-liga,,,,,,,,,,
Alfonso Pedraza,"€ 42,308","€ 2,200,000","€ 2,200,000",D,25,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Iker Muniain,"€ 42,308","€ 2,200,000","€ 2,200,000",F,29,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Mikel Oyarzabal,"€ 42,308","€ 2,200,000","€ 2,200,000",F,24,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Willian Jose,"€ 42,308","€ 2,200,000","€ 2,200,000",F,30,Brazil,Real Betis,2021-2022,la-liga,,,,,,,,,,
Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,140,000",F,33,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Portu,"€ 40,577","€ 2,110,000","€ 2,110,000",F,29,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Jaume Domenech,"€ 40,577","€ 2,110,000","€ 2,110,000",K,31,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Carlos Soler,"€ 40,385","€ 2,100,000","€ 2,100,000",M,25,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Nemanja Maksimovic,"€ 40,000","€ 2,080,000","€ 2,080,000",M,27,Serbia,Getafe,2021-2022,la-liga,,,,,,,,,,
Sergio Rico,"€ 39,423","€ 2,050,000","€ 2,050,000",K,28,Spain,Mallorca,2021-2022,la-liga,,,,,,,,,,
Kieran Trippier,"€ 38,462","€ 2,000,000","€ 2,000,000",D,30,England,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Marcos Andre,"€ 38,462","€ 2,000,000","€ 2,000,000",F,25,Brazil,Valencia,2021-2022,la-liga,,,,,,,,,,
Fran Beltran,"€ 38,462","€ 2,000,000","€ 2,000,000",M,22,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Inaki Pena,"€ 38,462","€ 2,000,000","€ 2,000,000",K,22,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Juan Foyth,"€ 38,462","€ 2,000,000","€ 2,000,000",D,24,Argentina,Villarreal,2021-2022,la-liga,,,,,,,,,,
Helder Costa,"€ 37,885","€ 1,970,000","€ 1,970,000",F,28,Angola,Valencia,2021-2022,la-liga,,,,,,,,,,
Kiko Casilla,"€ 37,308","€ 1,940,000","€ 1,940,000",K,35,Spain,Elche,2021-2022,la-liga,,,,,,,,,,
Ruben Rochina,"€ 37,115","€ 1,930,000","€ 1,930,000",F,30,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Etienne Capoue,"€ 36,538","€ 1,900,000","€ 1,900,000",M,33,France,Villarreal,2021-2022,la-liga,,,,,,,,,,
Rafa Mir,"€ 36,538","€ 1,900,000","€ 1,900,000",F,24,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
Jesus Corona,"€ 36,538","€ 1,900,000","€ 1,900,000",F,29,Mexico,Sevilla,2021-2022,la-liga,,,,,,,,,,
Dimitri Foulquier,"€ 35,962","€ 1,870,000","€ 1,870,000",D,28,Guadeloupe,Valencia,2021-2022,la-liga,,,,,,,,,,
Aritz Elustondo,"€ 35,577","€ 1,850,000","€ 1,850,000",D,27,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Thierry Correia,"€ 35,385","€ 1,840,000","€ 1,840,000",D,22,Portugal,Valencia,2021-2022,la-liga,,,,,,,,,,
Nestor Araujo,"€ 35,385","€ 1,840,000","€ 1,840,000",D,30,Mexico,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Joseba Zaldua,"€ 34,808","€ 1,810,000","€ 1,810,000",D,29,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Jesus Vallejo,"€ 34,615","€ 1,800,000","€ 1,800,000",D,25,Spain,Real Madrid,2021-2022,la-liga,,,,,,,,,,
Jose Luis Morales,"€ 34,615","€ 1,800,000","€ 1,800,000",F,34,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Oscar de Marcos,"€ 34,615","€ 1,800,000","€ 1,800,000",D,32,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Ezequiel Ponce,"€ 34,615","€ 1,800,000","€ 1,800,000",F,24,Argentina,Elche,2021-2022,la-liga,,,,,,,,,,
Gonzalo Escalante,"€ 34,423","€ 1,790,000","€ 1,790,000",M,28,Argentina,Alaves,2021-2022,la-liga,,,,,,,,,,
Okay Yokuslu,"€ 34,423","€ 1,790,000","€ 1,790,000",M,27,Turkey,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Okay Yokuslu,"€ 34,423","€ 1,790,000","€ 1,790,000",M,27,Turkey,Getafe,2021-2022,la-liga,,,,,,,,,,
Ivan Marcone,"€ 34,231","€ 1,780,000","€ 1,780,000",M,31,Argentina,Elche,2021-2022,la-liga,,,,,,,,,,
Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,24,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Toni Lato,"€ 33,846","€ 1,760,000","€ 1,760,000",D,24,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
